time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T21:23:49.99,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T21:23:49.99,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T21:23:49.99,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T21:23:49.99,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T21:23:49.99,Pinal,40144,262694,15.28,0,0,109,0,0,0,0,0
2022-11-08T21:23:49.99,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T21:23:49.99,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T21:23:49.99,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T21:24:07.647,State,1340762,4143929,30.5,0,1035,1734,36.53,0,0,0,0
2022-11-08T21:24:07.647,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T21:24:07.647,Cochise,26065,77394,33.68,0,49,55,89.09,0,0,0,0
2022-11-08T21:24:07.647,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T21:24:07.647,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T21:24:07.647,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T21:24:07.647,Greenlee,1374,4669,29.43,0,6,8,75,0,0,0,0
2022-11-08T21:24:07.647,La Paz,3697,11311,32.68,0,11,11,100,0,0,0,0
2022-11-08T21:24:07.647,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T21:24:07.647,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T21:24:07.647,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T21:24:07.647,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T21:24:07.647,Pinal,40144,262694,15.28,0,0,109,0,0,0,0,0
2022-11-08T21:24:07.647,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T21:24:07.647,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T21:24:07.647,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T21:26:32.197,State,1341155,4143929,30.53,0,1064,1734,40.73,0,0,0,0
2022-11-08T21:26:32.197,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T21:26:32.197,Cochise,26065,77394,33.68,0,49,55,89.09,0,0,0,0
2022-11-08T21:26:32.197,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T21:26:32.197,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
